Jan-17,1.6%
Feb-17,2.1%
Mar-17,2.4%
Apr-17,2.7%
May-17,1.4%
Jun-17,1.2%
Jul-17,1.7%
Aug-17,1.4%
Sep-17,1.9%
Oct-17,1.5%
Nov-17,1.4%
Dec-17,3.1%
Jan-18,1.8%
Feb-18,2.4%
Mar-18,2.3%
Apr-18,2.7%
May-18,2.1%
Jun-18,3.7%
Jul-18,3.1%
Aug-18,3.9%
Sep-18,6.5%
Oct-18,5.4%
Nov-18,3.2%
Dec-18,2.6%
Jan-19,2.9%
Feb-19,3.8%
Mar-19,4.7%
Apr-19,3.4%
May-19,3.1%
Jun-19,2.7%
Jul-19,2.2%
Aug-19,4.0%
Sep-19,5.9%
Oct-19,3.3%
Nov-19,4.3%
Dec-19,3.7%
Jan-20,2.3%
Feb-20,2.0%
Mar-20,3.3%
Apr-20,1.5%
May-20,1.5%
Jun-20,2.2%
Jul-20,1.9%
Aug-20,2.7%
Sep-20,2.8%
Oct-20,3.8%
Nov-20,3.2%
Dec-20,4.0%
Jan-21,4.0%
Feb-21,3.6%
Mar-21,4.8%
Apr-21,4.1%
