Mes,Índice1,,,Variación porcentual,,
,Nivel General,Bienes,Servicios,Nivel General,Bienes,Servicios
Jul-12,111.67,112.02,111.36,1.9,1.7,2.1
Aug-12,114.25,113.6,114.83,2.3,1.4,3.1
Sep-12,115.96,115.66,116.23,1.5,1.8,1.2
Oct-12,117.67,117.72,117.62,1.5,1.8,1.2
Nov-12,120.11,120.44,119.82,2.1,2.3,1.9
Dec-12,122.48,121.91,122.99,2,1.2,2.6
Jan-13,125.29,123.91,126.52,2.3,1.6,2.9
Feb-13,126.66,124.78,128.34,1.1,0.7,1.4
Mar-13,128.62,127.44,129.68,1.5,2.1,1
Apr-13,131.2,130,132.28,2,2,2
May-13,133.16,132.13,134.08,1.5,1.6,1.4
Jun-13,135.67,134.81,136.44,1.9,2,1.8
Jul-13,139,137.34,140.49,2.5,1.9,3
Aug-13,141.89,140.42,143.2,2.1,2.2,1.9
Sep-13,144.92,143.87,145.86,2.1,2.5,1.9
Oct-13,148.11,147.57,148.59,2.2,2.6,1.9
Nov-13,151.63,151.42,151.82,2.4,2.6,2.2
Dec-13,155.06,156.19,154.05,2.3,3.2,1.5
Jan-14,162.5,161.69,163.23,4.8,3.5,6
Feb-14,169.61,172.1,167.37,4.4,6.4,2.5
Mar-14,175.8,178.72,173.19,3.6,3.8,3.5
Apr-14,181.29,185.26,177.72,3.1,3.7,2.6
May-14,185.81,189.5,182.49,2.5,2.3,2.7
Jun-14,190.15,192.67,187.9,2.3,1.7,3
Jul-14,194.38,195.66,193.23,2.2,1.6,2.8
Aug-14,198.8,199.34,198.31,2.3,1.9,2.6
Sep-14,203.27,204.64,202.04,2.2,2.7,1.9
Oct-14,207.19,209.58,205.05,1.9,2.4,1.5
Nov-14,210.97,214.09,208.17,1.8,2.2,1.5
Dec-14,214.04,216.88,211.5,1.5,1.3,1.6
Jan-15,218.23,219.51,217.09,2,1.2,2.6
Feb-15,221.4,222.13,220.74,1.5,1.2,1.7
Mar-15,225.08,225.73,224.49,1.7,1.6,1.7
Apr-15,230.41,232.43,228.6,2.4,3,1.8
May-15,235.51,236.75,234.39,2.2,1.9,2.5
Jun-15,238.69,240.65,236.93,1.4,1.6,1.1
Jul-15,243.56,245.44,241.88,2,2,2.1
Aug-15,248.02,249.83,246.39,1.8,1.8,1.9
Sep-15,252.13,255.33,249.25,1.7,2.2,1.2
Oct-15,256.42,259.12,254,1.7,1.5,1.9
Nov-15,261.43,265.08,258.16,2,2.3,1.6
Dec-15,271.67,278.24,265.77,3.9,5,2.9
Jan-16,282.91,291.63,275.1,4.1,4.8,3.5
Feb-16,294.14,300.03,288.85,4,2.9,5
Mar-16,303.9,309.53,298.85,3.3,3.2,3.5
Apr-16,323.79,321.53,325.8,6.5,3.9,9
May-16,340.09,337.42,342.48,5,4.9,5.1
Jun-16,351.05,345.22,356.28,3.2,2.3,4
Jul-16,358.62,350.87,365.57,2.2,1.6,2.6
Aug-16,355.9,354.44,357.2,-0.8,1,-2.3
Sep-16,360.68,360.63,360.72,1.3,1.7,1
Oct-16,371.14,367.96,373.99,2.9,2,3.7
