"INDICE DE PRECIOS AL CONSUMIDOR SAN LUIS, base 2003=100",,,
Evolución del Indice de Precios al Consumidor por Nivel General,,,
Año,Mes,Índice,Variación porcentual respecto del mes anterior
2005,Octubre,116.16,0.6
2005,Noviembre,117.45,1.1
2005,Diciembre,117.92,0.4
2006,Enero,119.32,1.2
2006,Febrero,119.55,0.2
2006,Marzo,120.53,0.8
2006,Abril,121.21,0.6
2006,Mayo,121.62,0.3
2006,Junio,122.25,0.5
2006,Julio,122.62,0.3
2006,Agosto,122.86,0.2
2006,Septiembre,123.38,0.4
2006,Octubre,123.99,0.5
2006,Noviembre,125.28,1
2006,Diciembre,127.32,1.6
2007,Enero,128.74,1.1
2007,Febrero,129.59,0.7
2007,Marzo,130.94,1
2007,Abril,133.91,2.3
2007,Mayo,136.7,2.1
2007,Junio,140.33,2.7
2007,Julio,143.91,2.6
2007,Agosto,148.69,3.3
2007,Septiembre,151.67,2
2007,Octubre,153.84,1.4
2007,Noviembre,153.22,-0.4
2007,Diciembre,154.72,1
2008,Enero,157.85,2
2008,Febrero,161.38,2.2
2008,Marzo,167.94,4.1
2008,Abril,172.96,3
2008,Mayo,173.39,0.2
2008,Junio,177.59,2.4
2008,Julio,180.08,1.4
2008,Agosto,181.55,0.8
2008,Septiembre,183.51,1.1
2008,Octubre,184.58,0.6
2008,Noviembre,185.76,0.6
2008,Diciembre,186.59,0.4
2009,Enero,188.75,1.2
2009,Febrero,188.73,0
2009,Marzo,193.14,2.3
2009,Abril,196.66,1.8
2009,Mayo,198.36,0.9
2009,Junio,199.41,0.5
2009,Julio,201.41,1
2009,Agosto,205.15,1.9
2009,Septiembre,208.31,1.5
2009,Octubre,211.77,1.7
2009,Noviembre,214.2,1.2
2009,Diciembre,221.06,3.2
2010,Enero,225.96,2.2
2010,Febrero,235.8,4.4
2010,Marzo,242,2.6
2010,Abril,245.31,1.4
2010,Mayo,249.19,1.6
2010,Junio,251.9,1.1
2010,Julio,255.59,1.5
2010,Agosto,258.3,1.1
2010,Septiembre,262.4,1.6
2010,Octubre,270.97,3.3
2010,Noviembre,276.11,1.9
2010,Diciembre,280.81,1.7
2011,Enero,283.9,1.1
2011,Febrero,286.96,1.1
2011,Marzo,294.59,2.7
2011,Abril,302.24,2.6
2011,Mayo,307.5,1.7
2011,Junio,312.13,1.5
2011,Julio,317.56,1.7
2011,Agosto,325.28,2.4
2011,Septiembre,331.52,1.9
2011,Octubre,335.17,1.1
2011,Noviembre,339.83,1.4
2011,Diciembre,346.17,1.9
2012,Enero,350.17,1.2
2012,Febrero,355.32,1.5
2012,Marzo,367.36,3.4
2012,Abril,374.71,2
2012,Mayo,381.86,1.9
2012,Junio,386.96,1.3
2012,Julio,393.57,1.7
2012,Agosto,400.62,1.8
2012,Septiembre,406.92,1.6
2012,Octubre,413,1.5
2012,Noviembre,420.84,1.9
2012,Diciembre,425.81,1.2
2013,Enero,432.91,1.7
2013,Febrero,443.76,2.5
2013,Marzo,454.75,2.5
2013,Abril,462.18,1.6
2013,Mayo,471.01,1.9
2013,Junio,482.06,2.3
2013,Julio,492.97,2.3
2013,Agosto,502.33,1.9
2013,Septiembre,511.88,1.9
2013,Octubre,529.01,3.3
2013,Noviembre,544.12,2.9
2013,Diciembre,561.83,3.3
2014,Enero,585.34,4.2
2014,Febrero,627.35,7.2
2014,Marzo,652.39,4
2014,Abril,665.85,2.1
2014,Mayo,682.84,2.6
2014,Junio,695.13,1.8
2014,Julio,708.84,2
2014,Agosto,726.63,2.5
2014,Septiembre,749.11,3.1
2014,Octubre,758.51,1.3
2014,Noviembre,769.64,1.5
2014,Diciembre,780.99,1.5
2015,Enero,792.74,1.5
2015,Febrero,808.61,2
2015,Marzo,825.24,2.1
2015,Abril,840.29,1.8
2015,Mayo,856.79,2
2015,Junio,866.13,1.1
2015,Julio,886.21,2.3
2015,Agosto,903.18,1.9
2015,Septiembre,925.25,2.4
2015,Octubre,938.03,1.4
2015,Noviembre,964.96,2.9
2015,Diciembre,1027.54,6.5
2016,Enero,1070.62,4.2
2016,Febrero,1100.21,2.7
2016,Marzo,1132.39,2.9
2016,Abril,1170.83,3.4
2016,Mayo,1219.86,4.2
2016,Junio,1237.74,1.5
2016,Julio,1265.75,2.3
2016,Agosto,1273.8,0.6
2016,Septiembre,1296.42,1.7
2016,Octubre,1321.6,1.9
2016,Noviembre,1339.02,1.3
2016,Diciembre,1350.48,0.9
2017,Enero,1366.86,1.2
2017,Febrero,1390.12,1.7
2017,Marzo,1433.32,3.1
2017,Abril,1468.76,2.4
2017,Mayo,1492.2,1.7
2017,Junio,1507.73,1
2017,Julio,1530.15,1.5
2017,Agosto,1552.09,1.4
2017,Septiembre,1580.79,1.8
2017,Octubre,1606.59,1.6
2017,Noviembre,1630.3,1.5
2017,Diciembre,1678.94,3
2018,Enero,1703.2,1.4
2018,Febrero,1745.32,2.5
2018,Marzo,1794.98,2.8
2018,Abril,1839.78,2.5
2018,Mayo,1886.48,2.5
2018,Junio,1963.53,4.1
2018,Julio,2034.03,3.6
2018,Agosto,2102.36,3.4
2018,Septiembre,2264.68,7.7
2018,Octubre,2382.64,5.2
2018,Noviembre,2466.45,3.5
2018,Diciembre,2517.89,2.1
2019,Enero,2609.62,3.6
2019,Febrero,2708.13,3.8
2019,Marzo,2835.66,4.7
2019,Abril,2933.41,3.4
2019,Mayo,3035.33,3.5
2019,Junio,3104.39,2.3
2019,Julio,3151.61,1.5
2019,Agosto,3298.91,4.8
2019,Septiembre,3506.25,6.2
2019,Octubre,3610.36,3
2019,Noviembre,3784.74,4.8
2019,Diciembre,3968.36,4.9
2020,Enero,4089.1,3
2020,Febrero,4200.69,2.7
2020,Marzo,4316.58,2.8
2020,Abril,4401.06,2
2020,Mayo,4461.56,1.4
